Term,Translation,Definition,UsageNote
công nợ,accounts receivable,Khoản tiền khách hàng còn nợ chưa thanh toán,Tài chính - tuyệt đối không dịch là public debt
biên bản nghiệm thu,acceptance record,Văn bản xác nhận đã bàn giao và bên mua chấp nhận kết quả,Hợp đồng - không dịch là inspection minutes
phụ lục hợp đồng,contract addendum,Văn bản sửa đổi hoặc bổ sung cho hợp đồng đã ký,Hợp đồng - không dịch là contract appendix
thanh lý hợp đồng,contract closeout,Thủ tục kết thúc hợp đồng sau khi hai bên hoàn tất nghĩa vụ,Hợp đồng - không dịch là contract liquidation
quyết toán thuế,tax finalization,Thủ tục chốt số thuế phải nộp cho một kỳ tính thuế,Tài chính - không dịch là tax settlement
vốn điều lệ,charter capital,Số vốn cổ đông cam kết góp và ghi trong điều lệ công ty,Tài chính - thuật ngữ Luật Doanh nghiệp Việt Nam
người đại diện theo pháp luật,legal representative,Người có thẩm quyền ký kết nhân danh công ty,Pháp lý - bắt buộc dùng đúng cụm này trong mọi bản dịch
giấy phép kinh doanh,business registration certificate,Giấy chứng nhận đăng ký doanh nghiệp do Sở KHĐT cấp,Pháp lý - không dịch là business license
hội đồng quản trị,board of directors,Cơ quan quản trị do đại hội đồng cổ đông bầu ra,Quản trị - phải phân biệt với ban giám đốc
ban giám đốc,board of management,Nhóm điều hành do hội đồng quản trị bổ nhiệm,Quản trị - không được dịch thành board of directors
công văn,official dispatch,Văn bản hành chính gửi giữa các tổ chức,Hành chính - không dịch là official letter
bảo lãnh thực hiện hợp đồng,performance bond,Cam kết của ngân hàng bảo đảm nhà thầu thực hiện đúng hợp đồng,Hợp đồng - không dịch là contract guarantee
điều khoản phạt vi phạm,penalty clause,Điều khoản quy định mức phạt khi một bên vi phạm hợp đồng,Hợp đồng
hoá đơn giá trị gia tăng,VAT invoice,Hoá đơn có thuế giá trị gia tăng theo quy định,Tài chính - viết tắt nội bộ là hoá đơn VAT
tạm ứng,advance payment,Khoản chi trả trước khi công việc được hoàn tất,Tài chính - không dịch là temporary advance
doanh thu thuần,net revenue,Doanh thu sau khi trừ các khoản giảm trừ,Tài chính - báo cáo hàng quý
biên lợi nhuận gộp,gross margin,Tỷ lệ lợi nhuận gộp trên doanh thu thuần,Tài chính - báo cáo hàng quý
hàng tồn kho,inventory,Giá trị hàng hoá còn trong kho tại thời điểm báo cáo,Vận hành - không dịch là warehouse goods
định biên nhân sự,headcount plan,Số lượng nhân sự được duyệt cho từng bộ phận trong năm,Nhân sự
thử việc,probation period,Giai đoạn làm việc trước khi ký hợp đồng chính thức,Nhân sự - không dịch là trial work
WarpTalk,WarpTalk,Tên nền tảng của công ty,Danh từ riêng - giữ nguyên ở mọi ngôn ngữ
WarpBot,WarpBot,Tên trợ lý AI trong sản phẩm,Danh từ riêng - giữ nguyên ở mọi ngôn ngữ
